,Industry,No. of Jobs
14, Bán hàng,5924
19, Tư vấn,3827
8, Dịch vụ khách hàng,2446
18, Tiếp thị,1965
13, Tài chính / Đầu tư,1608
31, Dược / Sinh học,1531
11, Kế toán / Kiểm toán,1496
10, Bảo hiểm,1422
25, CNTT - Phần mềm,1368
33, Kỹ thuật ứng dụng / Cơ khí,1358
32, Điện / Điện tử,1276
6, Bán lẻ / Bán sỉ,1265
16, Quảng cáo / Khuyến mãi / Đối ngoại,1210
52, Mới tốt nghiệp / Thực tập,1196
4, Thư ký / Hành chánh,1145
42, Sản xuất / Vận hành sản xuất,984
12, Ngân hàng / Chứng khoán,945
0, Biên phiên dịch / Thông dịch viên,937
21, Vận chuyển / Giao thông / Kho bãi,848
7, Chăm sóc sức khỏe / Y tế,809
47, Xây dựng,708
29, Bảo trì / Sửa chữa,700
49, Nghệ thuật / Thiết kế / Giải trí,648
24, CNTT - Phần cứng / Mạng,640
20, Quản lý chất lượng (QA / QC),611
2, Nhân sự,515
39, Hóa chất / Sinh hóa / Thực phẩm,512
51, Lao động phổ thông,497
40, Nông nghiệp / Lâm nghiệp,397
23, Xuất nhập khẩu / Ngoại thương,383
44, Bất động sản,365
48, Báo chí / Biên tập viên / Xuất bản,359
22, Vật tư / Mua hàng,344
1, Biên phiên dịch (tiếng Nhật),334
54, Quản lý điều hành,299
45, Kiến trúc,294
50, Viễn Thông,292
30, Điện lạnh / Nhiệt lạnh,291
28, Nhà hàng / Dịch vụ ăn uống,280
46, Nội thất / Ngoại thất,278
17, Thời trang,253
37, Dệt may / Da giày,210
3, Pháp lý / Luật,193
41, Ô tô,154
43, Thuỷ Hải Sản,149
34, Môi trường / Xử lý chất thải,135
5, An Ninh / Bảo Vệ,114
27, Khách sạn,107
38, Đồ Gỗ,89
35, An Toàn Lao Động,88
55, Khác,64
15, Hàng gia dụng,60
26, Du lịch,36
36, Dầu khí / Khoáng sản,31
9, Phi chính phủ / Phi lợi nhuận,8
53, Người nước ngoài,3
